danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,artist_name
0.564,0.247,0,-12.381,1,0.0452,0.959,0.0694,0.109,0.211,119.258,audio_features,7xOTO27JomMqWgzaeyD7WQ,spotify:track:7xOTO27JomMqWgzaeyD7WQ,https://api.spotify.com/v1/tracks/7xOTO27JomMqWgzaeyD7WQ,https://api.spotify.com/v1/audio-analysis/7xOTO27JomMqWgzaeyD7WQ,223644,4,In The Wee Small Hours Of The Mornin,Geeder
0.649,0.297,3,-14.452,1,0.0296,0.914,0.678,0.196,0.364,131.94,audio_features,0xwx7ezy29UaYUfauZiFSF,spotify:track:0xwx7ezy29UaYUfauZiFSF,https://api.spotify.com/v1/tracks/0xwx7ezy29UaYUfauZiFSF,https://api.spotify.com/v1/audio-analysis/0xwx7ezy29UaYUfauZiFSF,182749,4,Let There Be Love,Zander Jazz Trio
0.327,0.132,7,-21.502,1,0.0419,0.965,0.89,0.11,0.0665,85.395,audio_features,7jkBFtRrtzVaWxD9akzRsH,spotify:track:7jkBFtRrtzVaWxD9akzRsH,https://api.spotify.com/v1/tracks/7jkBFtRrtzVaWxD9akzRsH,https://api.spotify.com/v1/audio-analysis/7jkBFtRrtzVaWxD9akzRsH,226516,3,Very Early,Charlie Regan Three
0.678,0.161,10,-16.567,1,0.0486,0.977,0.907,0.117,0.19,71.035,audio_features,3euZzIZUGZSDbSsDOnb79f,spotify:track:3euZzIZUGZSDbSsDOnb79f,https://api.spotify.com/v1/tracks/3euZzIZUGZSDbSsDOnb79f,https://api.spotify.com/v1/audio-analysis/3euZzIZUGZSDbSsDOnb79f,200347,4,Tiny Tiny Steps,Oakwood Station
0.475,0.123,5,-19.717,1,0.0372,0.939,0.878,0.114,0.254,85.435,audio_features,4oOkC6iNHVNtJJWHD8fqiL,spotify:track:4oOkC6iNHVNtJJWHD8fqiL,https://api.spotify.com/v1/tracks/4oOkC6iNHVNtJJWHD8fqiL,https://api.spotify.com/v1/audio-analysis/4oOkC6iNHVNtJJWHD8fqiL,186871,4,Simple Things,Loft Trio
0.425,0.191,3,-13.919,1,0.0474,0.967,0.633,0.275,0.347,67.716,audio_features,4MNtFvNn7MXXyiZjBgyuFo,spotify:track:4MNtFvNn7MXXyiZjBgyuFo,https://api.spotify.com/v1/tracks/4MNtFvNn7MXXyiZjBgyuFo,https://api.spotify.com/v1/audio-analysis/4MNtFvNn7MXXyiZjBgyuFo,222176,4,Till There Was You,Carla Anderson
0.424,0.103,3,-18.281,1,0.0417,0.937,0.861,0.114,0.135,104.45,audio_features,7wAFHu3ueBLEebC5NEOk9z,spotify:track:7wAFHu3ueBLEebC5NEOk9z,https://api.spotify.com/v1/tracks/7wAFHu3ueBLEebC5NEOk9z,https://api.spotify.com/v1/audio-analysis/7wAFHu3ueBLEebC5NEOk9z,289945,4,When I Fall In Love,Meadow Park
0.431,0.138,2,-17.408,0,0.0432,0.965,0.894,0.109,0.159,115.064,audio_features,6wcsA3k0UzI0aFdwigs79C,spotify:track:6wcsA3k0UzI0aFdwigs79C,https://api.spotify.com/v1/tracks/6wcsA3k0UzI0aFdwigs79C,https://api.spotify.com/v1/audio-analysis/6wcsA3k0UzI0aFdwigs79C,338132,4,The End Of A Love Affair,Cedar Wright
0.348,0.168,3,-19.254,0,0.0353,0.985,0.917,0.0854,0.149,82.508,audio_features,3eDOviMyR6gSoN2AeONg7Q,spotify:track:3eDOviMyR6gSoN2AeONg7Q,https://api.spotify.com/v1/tracks/3eDOviMyR6gSoN2AeONg7Q,https://api.spotify.com/v1/audio-analysis/3eDOviMyR6gSoN2AeONg7Q,320859,3,Late Lament,Tim Franks Trio
0.45,0.0767,2,-22.482,0,0.0378,0.869,0.747,0.0853,0.167,100.427,audio_features,27j2QBudHBt7AYWjCpcnEa,spotify:track:27j2QBudHBt7AYWjCpcnEa,https://api.spotify.com/v1/tracks/27j2QBudHBt7AYWjCpcnEa,https://api.spotify.com/v1/audio-analysis/27j2QBudHBt7AYWjCpcnEa,168616,4,the point above,Brandon's Three
